"","BAT_ID","Batting_order"
"900","barnm001",9
"901","barrt004",3
"902","blact002",9
"903","bowmm001",9
"904","brada001",9
"905","brebj001",2
"906","brigj002",9
"907","carls002",9
"908","castd002",9
"909","cessl001",9
"910","charj001",9
"911","cishs001",6
"912","conla001",5
"913","cordj001",9
"914","cozed001",9
"915","davir004",9
"916","deloe001",8
"917","diazm004",8
"918","domis001",1
"919","drako001",6
"920","dunnj002",9
"921","eliar001",9
"922","flord002",6
"923","fulmc001",7
"924","garcj006",2
"925","garcr006",9
"926","garcy001",3
"927","gottt001",9
"928","greec003",9
"929","gselr001",9
"930","gustj001",9
"931","hammj003",9
"932","howas002",7
"933","hudsj002",3
"934","igler001",2
"935","jackj001",2
"936","jansk001",1
"937","jeffj001",9
"938","johnb004",9
"939","juraa001",9
"940","kinlt001",9
"941","klubc001",9
"942","kuhnj001",9
"943","lirif001",8
"944","lucie001",3
"945","lugos001",5
"946","lyont001",8
"947","martc006",4
"948","mayem001",9
"949","mcgok002",3
"950","mellk001",9
"951","morea001",9
"952","nerih001",9
"953","norwj001",9
"954","obers001",5
"955","osicj001",9
"956","pagae001",9
"957","parkb001",9
"958","payap001",9
"959","petiy001",8
"960","plesz001",9
"961","quijj001",9
"962","raint003",6
"963","ramin003",9
"964","ramiy001",1
"965","reedc002",8
"966","reids001",9
"967","reyeg002",9
"968","rivef001",6
"969","rosar002",1
"970","santd003",7
"971","sewap001",9
"972","sherj001",1
"973","shrec001",7
"974","smitb005",4
"975","stepr002",9
"976","suerw002",1
"977","tanam001",9
"978","unded001",9
"979","velah001",9
"980","waldm001",8
"981","waldm002",9
"982","walkj002",9
"983","webbj002",3
"984","wiecb001",6
"985","willd004",6
"986","willt003",8
"987","winkd001",9
"988","wislm001",9
"989","wojca001",9
"990","zeuct001",9
