"","nameFirst","nameLast","BAT_ID","RE24","PA","Runs.Start","RE24_risp","PA_risp","Runs_Start_risp","RE24_no_risp","PA_no_risp","Runs_Start_no_risp"
"143","Taylor","Clarke","clart003",-3.74735639250825,25,14.4636564219612,-2.94043813314378,7,6.68229924882337,-0.806918259364467,18,7.78135717313787
"144","Mike","Clevinger","clevm001",-0.703115258617157,2,0.993197486182686,-0.458658623136977,1,0.458658623136977,-0.24445663548018,1,0.53453886304571
"145","Gerrit","Cole","coleg001",-1.85548148011176,7,2.64021827791563,-0.3332378633825,1,0.3332378633825,-1.52224361672926,6,2.30698041453313
"146","Zack","Collins","collz001",0.585934903228312,102,50.7453733309085,3.45934689531372,27,21.2227270006377,-2.87341199208541,75,29.5226463302708
"147","Christian","Colon","coloc002",0.558603055425703,8,4.72728983141851,0.407000740772451,5,3.13821858509168,0.151602314653252,3,1.58907124632682
"148","Michael","Conforto","confm001",25.4617459573322,648,336.20908688801,18.2663705512882,168,146.661621531135,7.195375406044,480,189.547465356875
"149","Willson","Contreras","contw001",11.3597944694296,409,214.504357897891,4.21261306889978,114,96.7838924893665,7.14718140052986,295,117.720465408525
"150","Garrett","Cooper","coopg002",6.86512071342129,421,206.583085031588,8.89251179781936,99,85.3308539212819,-2.02739108439807,322,121.252231110306
"151","Patrick","Corbin","corbp001",-10.550346571423,72,39.6687147470699,-4.49928906695864,24,20.8378250256273,-6.05105750446439,48,18.8308897214426
"152","Franchy","Cordero","cordf003",-0.112497666161507,20,10.2694552355109,-0.728617334307551,4,4.73485883326889,0.616119668146044,16,5.53459640224201
"153","Ryan","Cordell","cordr001",-11.8542865151503,247,123.671342860964,-5.11623377255578,52,45.87866766924,-6.73805274259456,195,77.792675191724
"154","Carlos","Correa","corrc001",11.9368166863331,321,184.597633526387,1.17516782163172,103,94.8397104298767,10.7616488647014,218,89.7579230965098
"155","Ryan","Court","courr001",-0.740649028306471,25,12.4102408272252,0.216571872692261,8,7.07787718102583,-0.957220900998732,17,5.33236364619935
"156","Kaleb","Cowart","cowak001",-3.7777901477814,26,15.269180786787,-1.77481345477349,6,6.21840652782313,-2.00297669300791,20,9.05077425896386
"157","Zack","Cozart","cozaz001",-13.9605035381691,107,58.8298661476525,-3.62997419658588,25,26.6432094552851,-10.3305293415832,82,32.1866566923674
"158","Brandon","Crawford","crawb001",-11.0426640501155,560,290.215401879351,6.15805787876809,143,123.249727474259,-17.2007219288836,417,166.965674405092
"159","J. P.","Crawford","crawj002",1.03701958163015,396,204.468828124572,4.35802069982626,103,89.9156806065414,-3.32100111819611,293,114.553147518031
"160","C. J.","Cron","cronc002",0.533112690285961,500,251.510376805559,6.05028225282696,121,103.94796645826,-5.51716956254099,379,147.562410347299
"161","Kevin","Cron","cronk001",-1.74714272202538,78,44.1198039129113,-0.0745847097471041,27,24.7367520945029,-1.67255801227828,51,19.3830518184084
"162","Nelson","Cruz","cruzn002",49.1380424810958,520,276.370310348523,19.1558241803034,135,134.495454606366,29.9822183007924,385,141.874855742157
"163","Noel","Cuevas","cuevn001",0.3056217999534,2,2.11425596649078,-0.130827933135903,1,1.55442561205273,0.436449733089303,1,0.559830354438049
"164","Charlie","Culberson","culbc001",-6.17000740352557,144,79.8010198175953,-10.7390415033342,44,38.6626642385771,4.56903409980861,100,41.1383555790182
"165","Cheslor","Cuthbert","cuthc001",-14.9801852333667,330,168.514038123783,-2.19553877518548,92,76.9615795826421,-12.7846464581812,238,91.552458541141
"166","David","Dahl","dahld001",14.3899315453512,413,215.810204240098,13.4837777841645,113,100.331669537621,0.906153761186738,300,115.478534702477
"167","Travis","d'Arnaud","darnt001",6.72824064020682,391,204.547028686446,11.128639309483,117,92.8050092162609,-4.4003986692762,274,111.742019470185
"168","Yu","Darvish","darvy001",-11.2221510362964,62,29.7560099176661,-2.95905430652067,12,10.3907723208407,-8.26309672977568,50,19.3652375968254
"169","Chris","Davis","davic003",-11.7201309842353,352,172.086967882289,-1.1406444989999,86,71.6724204064378,-10.5794864852354,266,100.414547475851
"170","J. D.","Davis","davij006",5.53245928867807,453,238.119817887313,-10.4026380416683,123,105.3647944905,15.9350973303464,330,132.755023396813
"171","Jonathan","Davis","davij007",-6.8833600008476,95,46.3319750271094,-5.82135004494624,22,19.5506954261242,-1.06200995590136,73,26.7812796009852
